Date,Low,High,Open,Close,Volumefrom,Volumeto
2020-12-11,17572.33,18292.73,18254.63,18036.53,72610.72,1301081647.3
2020-12-12,18020.7,18948.66,18036.53,18808.69,49519.98,915552835.91
2020-12-13,18711.12,19411.0,18808.69,19174.99,56560.82,1083520569.1
2020-12-14,19000.0,19349.0,19174.99,19273.14,47257.2,906101687.74
2020-12-15,19050.0,19570.0,19273.14,19426.43,61834.37,1196361527.92
2020-12-16,19278.6,21560.0,19426.43,21335.52,114306.34,2325135958.64
2020-12-17,21230.0,23800.0,21335.52,22797.16,184877.51,4196530697.11
2020-12-18,22350.0,23285.18,22797.16,23107.39,79646.13,1820875361.3
2020-12-19,22750.0,24171.47,23107.39,23821.61,86045.06,2018969878.89
2020-12-20,23060.0,24295.0,23821.61,23455.52,76690.15,1810862074.73
2020-12-21,21815.0,24102.77,23455.52,22719.71,88030.3,2035446293.93
2020-12-22,22353.4,23837.1,22719.71,23810.79,87033.13,2010758620.24
2020-12-23,22600.0,24100.0,23810.79,23232.76,119047.26,2797688007.07
2020-12-24,22703.42,23794.43,23232.76,23729.2,69013.83,1602394244.08
2020-12-25,23433.6,24789.86,23729.2,24712.47,79519.94,1919766316.67
2020-12-26,24500.0,26867.03,24712.47,26493.39,97806.51,2496533065.17
2020-12-27,25700.0,28422.0,26493.39,26281.66,148455.59,4028928683.88
2020-12-28,26101.0,27500.0,26281.66,27079.41,79721.74,2151806808.57
2020-12-29,25880.0,27410.0,27079.41,27385.0,69411.59,1851617219.77
2020-12-30,27320.0,28996.0,27385.0,28875.54,95356.06,2683953237.47
2020-12-31,27850.0,29300.0,28875.54,28923.63,75508.51,2173600125.42
2021-01-01,28624.57,29600.0,28923.63,29331.69,54182.93,1582526989.17
2021-01-02,28946.53,33300.0,29331.69,32178.33,129993.87,4073842163.67
2021-01-03,31962.99,34778.11,32178.33,33000.05,120957.57,4057598425.49
2021-01-04,28130.0,33600.0,33000.05,31988.71,140899.89,4429010349.7
2021-01-05,29900.0,34360.0,31988.71,33949.53,116050.0,3743617144.65
2021-01-06,33288.0,36939.21,33949.53,36769.36,127139.2,4431954248.52
2021-01-07,36300.0,40365.0,36769.36,39432.28,132825.7,5062569943.38
2021-01-08,36500.0,41950.0,39432.28,40582.81,139789.96,5568443208.74
2021-01-09,38720.0,41380.0,40582.81,40088.22,75785.98,3054779029.17
2021-01-10,35111.11,41350.0,40088.22,38150.02,118209.54,4604034729.51
2021-01-11,30420.0,38264.74,38150.02,35404.47,251156.14,8497730017.9
2021-01-12,32531.0,36628.0,35404.47,34051.24,133948.15,4651302423.49
2021-01-13,32380.0,37850.0,34051.24,37371.38,124477.91,4322876606.42
2021-01-14,36701.23,40100.0,37371.38,39144.5,102950.39,3974826638.14
2021-01-15,34408.0,39747.76,39144.5,36742.22,118298.63,4371505823.29
2021-01-16,35357.8,37950.0,36742.22,35994.98,86348.43,3178840336.15
2021-01-17,33850.0,36852.5,35994.98,35828.61,80156.68,2843065561.37
2021-01-18,34800.0,37469.83,35828.61,36631.27,70697.8,2554831751.04
2021-01-19,35844.06,37850.0,36631.27,35891.49,79611.31,2935348499.34
2021-01-20,33400.0,36415.31,35891.49,35468.23,89368.42,3126721093.52
2021-01-21,30071.0,35600.0,35468.23,30850.13,135001.75,4386710052.19
2021-01-22,28850.0,33826.53,30850.13,32945.17,142971.68,4483295872.03
2021-01-23,31390.16,33456.0,32945.17,32078.0,64595.29,2089098295.76
2021-01-24,30900.0,33071.0,32078.0,32259.9,57978.04,1864609665.37
2021-01-25,31910.0,34875.0,32259.9,32254.2,88498.78,2958743807.98
2021-01-26,30837.37,32921.88,32254.2,32467.77,84972.21,2708545364.5
2021-01-27,29241.72,32557.29,32467.77,30366.15,95911.96,2958081421.63
2021-01-28,29842.1,33783.98,30366.15,33364.86,92621.15,2953553214.06
2021-01-29,31915.4,38531.9,33364.86,34252.2,231827.01,8195593336.22
2021-01-30,32825.0,34933.0,34252.2,34262.88,84889.68,2884500062.94
2021-01-31,32171.67,34342.69,34262.88,33092.98,68741.23,2289606505.18
2021-02-01,32296.16,34717.27,33092.98,33526.37,82717.94,2791765478.89
2021-02-02,33418.0,35984.33,33526.37,35466.24,78056.66,2716321896.32
